suite,component,type,layer,head,mean_drop
factual_recall,L5.H5,head,5,5.0,0.2785
factual_recall,L5.H6,head,5,6.0,-0.0635
factual_recall,L5.H7,head,5,7.0,-0.0204
factual_recall,L5.H8,head,5,8.0,0.3817
factual_recall,L5.H9,head,5,9.0,-0.005
factual_recall,L5.H10,head,5,10.0,0.0876
factual_recall,L5.H11,head,5,11.0,0.4989
factual_recall,L6.H0,head,6,0.0,0.113
factual_recall,L6.H1,head,6,1.0,0.1002
factual_recall,L6.H2,head,6,2.0,0.6711
factual_recall,L6.H3,head,6,3.0,-0.1675
factual_recall,L6.H4,head,6,4.0,-0.1045
factual_recall,L6.H5,head,6,5.0,-0.4471
factual_recall,L6.H6,head,6,6.0,0.0049
factual_recall,L6.H7,head,6,7.0,-0.3511
factual_recall,L6.H8,head,6,8.0,-0.0739
factual_recall,L6.H9,head,6,9.0,0.0543
factual_recall,L6.H10,head,6,10.0,0.0266
factual_recall,L6.H11,head,6,11.0,0.0889
factual_recall,L7.H0,head,7,0.0,0.1422
factual_recall,L7.H1,head,7,1.0,-0.0672
factual_recall,L7.H2,head,7,2.0,-0.2496
factual_recall,L7.H3,head,7,3.0,0.2272
factual_recall,L7.H4,head,7,4.0,0.1095
factual_recall,L7.H5,head,7,5.0,-0.0016
factual_recall,L7.H6,head,7,6.0,0.0085
factual_recall,L7.H7,head,7,7.0,0.0951
factual_recall,L7.H8,head,7,8.0,0.4488
factual_recall,L7.H9,head,7,9.0,-0.0011
factual_recall,L7.H10,head,7,10.0,0.0512
factual_recall,L7.H11,head,7,11.0,0.5663
factual_recall,L8.H0,head,8,0.0,0.0103
factual_recall,L8.H1,head,8,1.0,0.5051
factual_recall,L8.H2,head,8,2.0,0.0028
factual_recall,L8.H3,head,8,3.0,0.0093
factual_recall,L8.H4,head,8,4.0,0.0367
factual_recall,L8.H5,head,8,5.0,-0.0004
factual_recall,L8.H6,head,8,6.0,0.0003
factual_recall,L8.H7,head,8,7.0,-0.0659
factual_recall,L8.H8,head,8,8.0,0.0453
factual_recall,L8.H9,head,8,9.0,-0.0598
factual_recall,L8.H10,head,8,10.0,0.5152
factual_recall,L8.H11,head,8,11.0,-0.0066
factual_recall,L9.H0,head,9,0.0,0.0072
factual_recall,L9.H1,head,9,1.0,-0.4305
factual_recall,L9.H2,head,9,2.0,-0.0027
factual_recall,L9.H3,head,9,3.0,-0.0686
factual_recall,L9.H4,head,9,4.0,0.6236
factual_recall,L9.H5,head,9,5.0,-0.4546
factual_recall,L9.H6,head,9,6.0,0.0025
factual_recall,L9.H7,head,9,7.0,-0.0501
factual_recall,L9.H8,head,9,8.0,0.0071
factual_recall,L9.H9,head,9,9.0,-0.0028
factual_recall,L9.H10,head,9,10.0,-0.0079
factual_recall,L9.H11,head,9,11.0,-0.0049
factual_recall,L10.H0,head,10,0.0,-0.0006
factual_recall,L10.H1,head,10,1.0,0.0222
factual_recall,L10.H2,head,10,2.0,-0.034
factual_recall,L10.H3,head,10,3.0,0.0028
factual_recall,L10.H4,head,10,4.0,-0.0093
factual_recall,L10.H5,head,10,5.0,0.0988
factual_recall,L10.H6,head,10,6.0,-0.0017
factual_recall,L10.H7,head,10,7.0,0.0003
factual_recall,L10.H8,head,10,8.0,-0.012
factual_recall,L10.H9,head,10,9.0,0.011
factual_recall,L10.H10,head,10,10.0,0.0043
factual_recall,L10.H11,head,10,11.0,0.0051
factual_recall,L11.H0,head,11,0.0,-0.1104
factual_recall,L11.H1,head,11,1.0,-0.0598
factual_recall,L11.H2,head,11,2.0,-0.0188
factual_recall,L11.H3,head,11,3.0,-0.0275
factual_recall,L11.H4,head,11,4.0,-0.0038
factual_recall,L11.H5,head,11,5.0,-0.0813
factual_recall,L11.H6,head,11,6.0,-0.0069
factual_recall,L11.H7,head,11,7.0,-0.0042
factual_recall,L11.H8,head,11,8.0,0.0565
factual_recall,L11.H9,head,11,9.0,-0.0048
factual_recall,L11.H10,head,11,10.0,-0.0369
factual_recall,L11.H11,head,11,11.0,-0.028
factual_recall,L0.MLP,mlp,0,,2.6891
factual_recall,L1.MLP,mlp,1,,1.1291
factual_recall,L2.MLP,mlp,2,,0.7639
factual_recall,L3.MLP,mlp,3,,1.6869
factual_recall,L4.MLP,mlp,4,,0.8372
factual_recall,L5.MLP,mlp,5,,-0.5645
factual_recall,L6.MLP,mlp,6,,1.3862
factual_recall,L7.MLP,mlp,7,,1.1808
factual_recall,L8.MLP,mlp,8,,0.3956
factual_recall,L9.MLP,mlp,9,,-0.4996
factual_recall,L10.MLP,mlp,10,,0.7565
factual_recall,L11.MLP,mlp,11,,-4.0617
induction,L0.H0,head,0,0.0,1.1927
induction,L0.H1,head,0,1.0,-0.1963
induction,L0.H2,head,0,2.0,-0.2856
induction,L0.H3,head,0,3.0,0.1274
induction,L0.H4,head,0,4.0,0.8589
induction,L0.H5,head,0,5.0,0.5156
induction,L0.H6,head,0,6.0,-0.3577
induction,L0.H7,head,0,7.0,0.2534
induction,L0.H8,head,0,8.0,0.4844
induction,L0.H9,head,0,9.0,0.2952
induction,L0.H10,head,0,10.0,0.3356
induction,L0.H11,head,0,11.0,-0.0544
induction,L1.H0,head,1,0.0,0.083
induction,L1.H1,head,1,1.0,-0.8246
induction,L1.H2,head,1,2.0,0.0233
induction,L1.H3,head,1,3.0,0.2231
induction,L1.H4,head,1,4.0,-0.1541
induction,L1.H5,head,1,5.0,0.3212
induction,L1.H6,head,1,6.0,-0.4805
induction,L1.H7,head,1,7.0,0.51
induction,L1.H8,head,1,8.0,0.6117
induction,L1.H9,head,1,9.0,0.1395
induction,L1.H10,head,1,10.0,0.278
induction,L1.H11,head,1,11.0,0.2084
induction,L2.H0,head,2,0.0,-0.1512
induction,L2.H1,head,2,1.0,-0.1408
induction,L2.H2,head,2,2.0,-0.0414
induction,L2.H3,head,2,3.0,-0.3443
induction,L2.H4,head,2,4.0,-0.0363
induction,L2.H5,head,2,5.0,0.0986
induction,L2.H6,head,2,6.0,0.5967
induction,L2.H7,head,2,7.0,-0.1942
induction,L2.H8,head,2,8.0,0.1446
induction,L2.H9,head,2,9.0,0.201
induction,L2.H10,head,2,10.0,-0.4383
induction,L2.H11,head,2,11.0,-0.2365
induction,L3.H0,head,3,0.0,0.7217
induction,L3.H1,head,3,1.0,0.8663
induction,L3.H2,head,3,2.0,1.1399
induction,L3.H3,head,3,3.0,-0.7497
induction,L3.H4,head,3,4.0,0.0855
induction,L3.H5,head,3,5.0,0.0753
induction,L3.H6,head,3,6.0,0.037
induction,L3.H7,head,3,7.0,0.2606
induction,L3.H8,head,3,8.0,0.2006
induction,L3.H9,head,3,9.0,-0.0977
induction,L3.H10,head,3,10.0,-0.0773
induction,L3.H11,head,3,11.0,-0.1338
induction,L4.H0,head,4,0.0,0.0169
induction,L4.H1,head,4,1.0,0.2941
induction,L4.H2,head,4,2.0,0.3458
induction,L4.H3,head,4,3.0,-0.0895
induction,L4.H4,head,4,4.0,0.079
induction,L4.H5,head,4,5.0,0.0293
induction,L4.H6,head,4,6.0,-0.049
induction,L4.H7,head,4,7.0,0.1111
induction,L4.H8,head,4,8.0,0.1285
induction,L4.H9,head,4,9.0,0.0781
induction,L4.H10,head,4,10.0,0.0629
induction,L4.H11,head,4,11.0,0.1981
induction,L5.H0,head,5,0.0,1.0416
induction,L5.H1,head,5,1.0,-0.2242
induction,L5.H2,head,5,2.0,0.032
induction,L5.H3,head,5,3.0,-0.0684
induction,L5.H4,head,5,4.0,-0.0173
induction,L5.H5,head,5,5.0,-0.0868
induction,L5.H6,head,5,6.0,-0.0011
induction,L5.H7,head,5,7.0,0.0543
induction,L5.H8,head,5,8.0,-0.1197
induction,L5.H9,head,5,9.0,0.0017
induction,L5.H10,head,5,10.0,0.2208
induction,L5.H11,head,5,11.0,-0.1303
induction,L6.H0,head,6,0.0,-0.1485
induction,L6.H1,head,6,1.0,-0.0657
induction,L6.H2,head,6,2.0,-0.0215
induction,L6.H3,head,6,3.0,-0.0539
induction,L6.H4,head,6,4.0,0.0745
induction,L6.H5,head,6,5.0,-0.1563
induction,L6.H6,head,6,6.0,-0.0246
induction,L6.H7,head,6,7.0,0.0049
induction,L6.H8,head,6,8.0,0.0671
induction,L6.H9,head,6,9.0,0.035
induction,L6.H10,head,6,10.0,-0.1089
induction,L6.H11,head,6,11.0,0.17
induction,L7.H0,head,7,0.0,-0.2893
induction,L7.H1,head,7,1.0,-0.0631
induction,L7.H2,head,7,2.0,-0.0995
induction,L7.H3,head,7,3.0,0.3505
induction,L7.H4,head,7,4.0,0.0376
induction,L7.H5,head,7,5.0,-0.0415
induction,L7.H6,head,7,6.0,0.0183
induction,L7.H7,head,7,7.0,0.4089
induction,L7.H8,head,7,8.0,-0.07
induction,L7.H9,head,7,9.0,0.0072
induction,L7.H10,head,7,10.0,0.0762
induction,L7.H11,head,7,11.0,0.0311
induction,L8.H0,head,8,0.0,-0.0116
induction,L8.H1,head,8,1.0,0.012
induction,L8.H2,head,8,2.0,0.1896
induction,L8.H3,head,8,3.0,-0.021
induction,L8.H4,head,8,4.0,-0.1173
induction,L8.H5,head,8,5.0,-0.0111
induction,L8.H6,head,8,6.0,-0.0159
induction,L8.H7,head,8,7.0,-0.0832
induction,L8.H8,head,8,8.0,0.0757
induction,L8.H9,head,8,9.0,-0.0549
induction,L8.H10,head,8,10.0,0.348
induction,L8.H11,head,8,11.0,0.0697
induction,L9.H0,head,9,0.0,-0.0353
induction,L9.H1,head,9,1.0,-0.1047
induction,L9.H2,head,9,2.0,0.0037
induction,L9.H3,head,9,3.0,0.0688
induction,L9.H4,head,9,4.0,0.0116
induction,L9.H5,head,9,5.0,0.0133
induction,L9.H6,head,9,6.0,0.2331
induction,L9.H7,head,9,7.0,0.1114
induction,L9.H8,head,9,8.0,0.1298
induction,L9.H9,head,9,9.0,-0.0014
induction,L9.H10,head,9,10.0,-0.0197
induction,L9.H11,head,9,11.0,-0.0051
induction,L10.H0,head,10,0.0,-0.0011
induction,L10.H1,head,10,1.0,0.2546
induction,L10.H2,head,10,2.0,-0.0047
induction,L10.H3,head,10,3.0,-0.0047
induction,L10.H4,head,10,4.0,-0.0003
induction,L10.H5,head,10,5.0,-0.009
induction,L10.H6,head,10,6.0,0.0061
induction,L10.H7,head,10,7.0,0.0385
induction,L10.H8,head,10,8.0,0.3422
induction,L10.H9,head,10,9.0,-0.0042
induction,L10.H10,head,10,10.0,0.0897
induction,L10.H11,head,10,11.0,0.0022
induction,L11.H0,head,11,0.0,-0.0901
induction,L11.H1,head,11,1.0,-0.0402
induction,L11.H2,head,11,2.0,-0.0232
induction,L11.H3,head,11,3.0,-0.0147
induction,L11.H4,head,11,4.0,0.006
induction,L11.H5,head,11,5.0,-0.0685
induction,L11.H6,head,11,6.0,-0.0474
induction,L11.H7,head,11,7.0,-0.0118
induction,L11.H8,head,11,8.0,0.0013
induction,L11.H9,head,11,9.0,-0.0333
induction,L11.H10,head,11,10.0,-0.0084
induction,L11.H11,head,11,11.0,-0.0398
induction,L0.MLP,mlp,0,,3.5868
induction,L1.MLP,mlp,1,,0.6954
induction,L2.MLP,mlp,2,,2.1151
induction,L3.MLP,mlp,3,,1.2514
induction,L4.MLP,mlp,4,,0.9772
induction,L5.MLP,mlp,5,,1.1492
induction,L6.MLP,mlp,6,,1.4412
induction,L7.MLP,mlp,7,,1.5223
induction,L8.MLP,mlp,8,,-0.0981
induction,L9.MLP,mlp,9,,0.3235
induction,L10.MLP,mlp,10,,1.3524
induction,L11.MLP,mlp,11,,-6.2866
